cod_uf,nome_uf,cod_mesorregiao,nome_mesorregiao,cod_microrregiao,nome_microrregiao,numero_municipio,cod_municipio,nome_municipio
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,3802,2103802,Dom Pedro
21,Maranhão,4,Leste Maranhense,16,Coelho Neto,3901,2103901,Duque Bacelar
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,4008,2104008,Esperantinópolis
21,Maranhão,5,Sul Maranhense,19,Porto Franco,4057,2104057,Estreito
21,Maranhão,5,Sul Maranhense,20,Gerais de Balsas,4073,2104073,Feira Nova do Maranhão
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,4081,2104081,Fernando Falcão
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,4099,2104099,Formosa da Serra Negra
21,Maranhão,5,Sul Maranhense,21,Chapadas das Mangabeiras,4107,2104107,Fortaleza dos Nogueiras
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4206,2104206,Fortuna
21,Maranhão,2,Oeste Maranhense,7,Gurupi,4305,2104305,Godofredo Viana
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4404,2104404,Gonçalves Dias
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4503,2104503,Governador Archer
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,4552,2104552,Governador Edison Lobão
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4602,2104602,Governador Eugênio Barros
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4628,2104628,Governador Luiz Rocha
21,Maranhão,2,Oeste Maranhense,8,Pindaré,4651,2104651,Governador Newton Bello
21,Maranhão,2,Oeste Maranhense,7,Gurupi,4677,2104677,Governador Nunes Freire
21,Maranhão,3,Centro Maranhense,12,Presidente Dutra,4701,2104701,Graça Aranha
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,4800,2104800,Grajaú
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,4909,2104909,Guimarães
21,Maranhão,1,Norte Maranhense,4,Lençóis Maranhenses,5005,2105005,Humberto de Campos
21,Maranhão,1,Norte Maranhense,3,Rosário,5104,2105104,Icatu
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,5153,2105153,Igarapé do Meio
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,5203,2105203,Igarapé Grande
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,5302,2105302,Imperatriz
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,5351,2105351,Itaipava do Grajaú
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,5401,2105401,Itapecuru Mirim
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,5427,2105427,Itinga do Maranhão
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,5450,2105450,Jatobá
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,5476,2105476,Jenipapo dos Vieiras
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,5500,2105500,João Lisboa
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,5609,2105609,Joselândia
21,Maranhão,2,Oeste Maranhense,7,Gurupi,5658,2105658,Junco do Maranhão
21,Maranhão,2,Oeste Maranhense,8,Pindaré,5708,2105708,Lago da Pedra
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,5807,2105807,Lago do Junco
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,5948,2105948,Lago dos Rodrigues
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,5906,2105906,Lago Verde
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,5922,2105922,Lagoa do Mato
21,Maranhão,2,Oeste Maranhense,8,Pindaré,5963,2105963,Lagoa Grande do Maranhão
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,5989,2105989,Lajeado Novo
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,6003,2106003,Lima Campos
21,Maranhão,5,Sul Maranhense,21,Chapadas das Mangabeiras,6102,2106102,Loreto
21,Maranhão,2,Oeste Maranhense,7,Gurupi,6201,2106201,Luís Domingues
21,Maranhão,4,Leste Maranhense,13,Baixo Parnaíba Maranhense,6300,2106300,Magalhães de Almeida
21,Maranhão,2,Oeste Maranhense,7,Gurupi,6326,2106326,Maracaçumé
21,Maranhão,2,Oeste Maranhense,8,Pindaré,6359,2106359,Marajá do Sena
21,Maranhão,2,Oeste Maranhense,7,Gurupi,6375,2106375,Maranhãozinho
21,Maranhão,4,Leste Maranhense,14,Chapadinha,6409,2106409,Mata Roma
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,6508,2106508,Matinha
21,Maranhão,4,Leste Maranhense,17,Caxias,6607,2106607,Matões
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,6631,2106631,Matões do Norte
21,Maranhão,4,Leste Maranhense,14,Chapadinha,6672,2106672,Milagres do Maranhão
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,6706,2106706,Mirador
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,6755,2106755,Miranda do Norte
21,Maranhão,1,Norte Maranhense,1,Litoral Ocidental Maranhense,6805,2106805,Mirinzal
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,6904,2106904,Monção
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,7001,2107001,Montes Altos
21,Maranhão,1,Norte Maranhense,3,Rosário,7100,2107100,Morros
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,7209,2107209,Nina Rodrigues
21,Maranhão,5,Sul Maranhense,21,Chapadas das Mangabeiras,7258,2107258,Nova Colinas
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,7308,2107308,Nova Iorque
21,Maranhão,2,Oeste Maranhense,8,Pindaré,7357,2107357,Nova Olinda do Maranhão
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,7407,2107407,Olho d'Água das Cunhãs
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,7456,2107456,Olinda Nova do Maranhão
21,Maranhão,1,Norte Maranhense,2,Aglomeração Urbana de São Luís,7506,2107506,Paço do Lumiar
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,7605,2107605,Palmeirândia
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,7704,2107704,Paraibano
21,Maranhão,4,Leste Maranhense,17,Caxias,7803,2107803,Parnarama
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,7902,2107902,Passagem Franca
21,Maranhão,4,Leste Maranhense,18,Chapadas do Alto Itapecuru,8009,2108009,Pastos Bons
21,Maranhão,1,Norte Maranhense,4,Lençóis Maranhenses,8058,2108058,Paulino Neves
21,Maranhão,2,Oeste Maranhense,8,Pindaré,8108,2108108,Paulo Ramos
