"cod_ibge","tipo","sexo","n"
211157,"15 a 19 anos","Homem",276
211157,"10 a 14 anos","Homem",279
211157,"5 a 9 anos","Homem",250
211157,"0 a 4 anos","Homem",210
211153,"Mais de 100 anos","Homem",1
211153,"95 a 99 anos","Homem",1
211153,"90 a 94 anos","Homem",14
211153,"85 a 89 anos","Homem",19
211153,"80 a 84 anos","Homem",34
211153,"75 a 79 anos","Homem",61
211153,"70 a 74 anos","Homem",114
211153,"65 a 69 anos","Homem",157
211153,"60 a 64 anos","Homem",160
211153,"55 a 59 anos","Homem",197
211153,"50 a 54 anos","Homem",214
211153,"45 a 49 anos","Homem",264
211153,"40 a 44 anos","Homem",305
211153,"35 a 39 anos","Homem",323
211153,"30 a 34 anos","Homem",420
211153,"25 a 29 anos","Homem",499
211153,"20 a 24 anos","Homem",565
211153,"15 a 19 anos","Homem",671
211153,"10 a 14 anos","Homem",710
211153,"5 a 9 anos","Homem",695
211153,"0 a 4 anos","Homem",691
211150,"Mais de 100 anos","Homem",4
211150,"95 a 99 anos","Homem",17
211150,"90 a 94 anos","Homem",71
211150,"85 a 89 anos","Homem",94
211150,"80 a 84 anos","Homem",139
211150,"75 a 79 anos","Homem",231
211150,"70 a 74 anos","Homem",377
211150,"65 a 69 anos","Homem",447
211150,"60 a 64 anos","Homem",559
211150,"55 a 59 anos","Homem",662
211150,"50 a 54 anos","Homem",755
211150,"45 a 49 anos","Homem",949
211150,"40 a 44 anos","Homem",972
211150,"35 a 39 anos","Homem",1055
211150,"30 a 34 anos","Homem",1257
211150,"25 a 29 anos","Homem",1439
211150,"20 a 24 anos","Homem",1757
211150,"15 a 19 anos","Homem",2151
211150,"10 a 14 anos","Homem",228
211150,"5 a 9 anos","Homem",2064
211150,"0 a 4 anos","Homem",1951
211140,"Mais de 100 anos","Homem",1
211140,"95 a 99 anos","Homem",3
211140,"90 a 94 anos","Homem",19
211140,"85 a 89 anos","Homem",30
211140,"80 a 84 anos","Homem",71
211140,"75 a 79 anos","Homem",116
211140,"70 a 74 anos","Homem",161
211140,"65 a 69 anos","Homem",266
211140,"60 a 64 anos","Homem",313
211140,"55 a 59 anos","Homem",381
211140,"50 a 54 anos","Homem",380
211140,"45 a 49 anos","Homem",413
211140,"40 a 44 anos","Homem",556
211140,"35 a 39 anos","Homem",579
211140,"30 a 34 anos","Homem",750
211140,"25 a 29 anos","Homem",842
211140,"20 a 24 anos","Homem",908
211140,"15 a 19 anos","Homem",1037
211140,"10 a 14 anos","Homem",1181
211140,"5 a 9 anos","Homem",1179
211140,"0 a 4 anos","Homem",975
211130,"Mais de 100 anos","Homem",48
211130,"95 a 99 anos","Homem",129
211130,"90 a 94 anos","Homem",397
211130,"85 a 89 anos","Homem",1073
211130,"80 a 84 anos","Homem",2124
211130,"75 a 79 anos","Homem",3685
211130,"70 a 74 anos","Homem",5705
211130,"65 a 69 anos","Homem",7969
211130,"60 a 64 anos","Homem",1113
211130,"55 a 59 anos","Homem",1605
211130,"50 a 54 anos","Homem",20986
211130,"45 a 49 anos","Homem",2543
211130,"40 a 44 anos","Homem",30731
211130,"35 a 39 anos","Homem",35023
211130,"30 a 34 anos","Homem",42102
211130,"25 a 29 anos","Homem",50864
211130,"20 a 24 anos","Homem",54277
211130,"15 a 19 anos","Homem",46046
211130,"10 a 14 anos","Homem",44134
211130,"5 a 9 anos","Homem",38897
211130,"0 a 4 anos","Homem",38195
211125,"Mais de 100 anos","Homem",NA
211125,"95 a 99 anos","Homem",NA
211125,"90 a 94 anos","Homem",9
211125,"85 a 89 anos","Homem",12
